timestamp        ,path                                 ,name,download (in secs),MB,min,url
20190308 13:53:01,/home/biadmin/Music/20190308_cr31.mp3,cr31,45                ,75,82 ,https://media.deejay.it/legacy/audio/chiamate_roma_triuno_triuno/20190308.mp3
20190308 13:53:38,/home/biadmin/Music/20190308_djci.mp3,djci,35                ,81,89 ,https://media.deejay.it/legacy/audio/deejay_chiama_italia/20190308.mp3
20190311 08:43:32,/home/biadmin/Music/20190309_djfc.mp3,djfc,29                ,81,88 ,https://media.deejay.it/legacy/audio/deejay_football_club/20190309.mp3
20190311 12:26:41,/home/biadmin/Music/20190311_cr31.mp3,cr31,40                ,77,85 ,https://media.deejay.it/legacy/audio/chiamate_roma_triuno_triuno/20190311.mp3
20190311 12:27:30,/home/biadmin/Music/20190311_djci.mp3,djci,48                ,82,90 ,https://media.deejay.it/legacy/audio/deejay_chiama_italia/20190311.mp3
20190311 16:54:53,/home/biadmin/Music/20190307_niki.mp3,niki,29                ,72,79 ,https://media.deejay.it/legacy/audio/tropical_pizza/20190307.mp3
20190311 16:56:02,/home/biadmin/Music/20190308_niki.mp3,niki,43                ,72,79 ,https://media.deejay.it/legacy/audio/tropical_pizza/20190308.mp3
20190311 17:20:37,/home/biadmin/Music/20190311_niki.mp3,niki,15                ,79,86 ,https://media.deejay.it/legacy/audio/tropical_pizza/20190311.mp3
20190312 12:17:14,/home/biadmin/Music/20190312_cr31.mp3,cr31,13                ,77,84 ,https://media.deejay.it/legacy/audio/chiamate_roma_triuno_triuno/20190312.mp3
20190312 14:56:00,/home/biadmin/Music/20190312_djci.mp3,djci,18                ,85,93 ,https://media.deejay.it/legacy/audio/deejay_chiama_italia/20190312.mp3
20190312 17:19:36,/home/biadmin/Music/20190312_niki.mp3,niki,14                ,75,82 ,https://media.deejay.it/legacy/audio/tropical_pizza/20190312.mp3
20190313 10:38:22,/home/biadmin/Music/20190313_cr31.mp3,cr31,51                ,78,86 ,https://media.deejay.it/legacy/audio/chiamate_roma_triuno_triuno/20190313.mp3
